feature_set,horizon,suite,episodes,failure_prevalence,auprc,auroc,brier,task_centered_auprc,task_centered_auroc,within_task_pairwise_auc,eligible_tasks,comparable_success_failure_pairs,task_eta_squared
layer_vlm_layer_15,50,libero_10,100,0.56,0.6311601401783665,0.5998376623376623,0.29626124835965134,0.6454770625716715,0.5917207792207793,0.6358024691358025,8,162,0.8253878433761958
layer_vlm_layer_15,50,libero_goal,100,0.17,0.2674390874107385,0.6385542168674698,0.13859994224823174,0.36989100391972424,0.6732813607370658,0.7154471544715447,8,123,0.5887421714355653
layer_vlm_layer_15,50,libero_object,100,0.33,0.4677683254077267,0.5572139303482587,0.22199672938954648,0.48110657296719284,0.5540479421076436,0.6094674556213018,9,169,0.41810979794598013
layer_vlm_layer_15,50,libero_spatial,100,0.39,0.550113049832798,0.621689785624212,0.2320114172944113,0.492847636530718,0.5985708280790247,0.6568047337278107,8,169,0.6820520200987041
majority_baseline,50,libero_10,100,0.56,0.4616950113378685,0.29707792207792205,0.2886337890625,0.5521428571428572,0.48376623376623373,0.5,8,162,1.0000000000000004
majority_baseline,50,libero_goal,100,0.17,0.16411764705882353,0.4397590361445783,0.17749414062500002,0.16895424836601308,0.49645641389085754,0.5,8,123,1.0000000000000024
majority_baseline,50,libero_object,100,0.33,0.3147979797979798,0.43441881501582996,0.22518457031249994,0.34696969696969693,0.536182722749887,0.5,9,169,1.0000000000000004
majority_baseline,50,libero_spatial,100,0.39,0.35213675213675216,0.3886086591004624,0.243046875,0.435018315018315,0.5693568726355611,0.5,8,169,1.000000000000002
policy_output,50,libero_10,100,0.56,0.5801767868286569,0.5909090909090909,0.2530261826455194,0.565824815343166,0.5267857142857144,0.5185185185185185,8,162,0.8556629642787406
policy_output,50,libero_goal,100,0.17,0.1480067054889002,0.4344436569808646,0.20475794641663228,0.16453387944253137,0.47696669029057404,0.4715447154471545,8,123,0.8435556416156385
policy_output,50,libero_object,100,0.33,0.3722739297081692,0.5400271370420624,0.22503078501309393,0.41815574337227657,0.5748530076888286,0.6094674556213018,9,169,0.582098622525847
policy_output,50,libero_spatial,100,0.39,0.5045110534966916,0.5817570407734343,0.23802086490905072,0.4292363506372567,0.5645229087852038,0.5857988165680473,8,169,0.791483032249556
robot_state,50,libero_10,100,0.56,0.6888286777989414,0.6773538961038961,0.23233516652687466,0.5438036725643678,0.45211038961038963,0.4691358024691358,8,162,0.9936741604123187
robot_state,50,libero_goal,100,0.17,0.17891562904622932,0.515946137491141,0.16042284232344262,0.19024361328943837,0.5180722891566265,0.5528455284552846,8,123,0.952067480582669
robot_state,50,libero_object,100,0.33,0.4563782970944733,0.572139303482587,0.22478784191440085,0.42448931542738144,0.5260063319764813,0.514792899408284,9,169,0.6902344788354998
robot_state,50,libero_spatial,100,0.39,0.3607340808515312,0.4451450189155107,0.26789279603980115,0.4493540504410682,0.5317360235393023,0.5621301775147929,8,169,0.9437527918198643
state_action_history,50,libero_10,100,0.56,0.5918156475931766,0.6189123376623376,0.2691338144831108,0.591370490233388,0.48863636363636365,0.4506172839506173,8,162,0.9095497082309715
state_action_history,50,libero_goal,100,0.17,0.17335291135572,0.4727143869596031,0.15587360286330212,0.19259695359433818,0.5258681785967398,0.5121951219512195,8,123,0.7877397796476292
state_action_history,50,libero_object,100,0.33,0.3659521167862224,0.5115332428765265,0.22496055194523767,0.31645891824132444,0.4839439167797377,0.5088757396449705,9,169,0.6544422389046425
state_action_history,50,libero_spatial,100,0.39,0.3847427329956149,0.45102984447246747,0.2804508737820349,0.4563205268988616,0.5577973938629677,0.5621301775147929,8,169,0.7135942332721031
vlm_action_expert,50,libero_10,100,0.56,0.7784836410000846,0.716314935064935,0.2577439287397304,0.7255380675804578,0.606737012987013,0.6296296296296297,8,162,0.8546348310306284
vlm_action_expert,50,libero_goal,100,0.17,0.3187177659361915,0.6569808646350106,0.13248230658529814,0.4743168054449691,0.7172218284904324,0.6991869918699187,8,123,0.5810056988023796
vlm_action_expert,50,libero_object,100,0.33,0.47896473899724634,0.6960651289009497,0.20232073256634098,0.5348387431837782,0.6933514246947083,0.7218934911242604,9,169,0.5305506914774631
vlm_action_expert,50,libero_spatial,100,0.39,0.5968682194209133,0.6939890710382514,0.2200710819522422,0.6098268132295902,0.6359815048339639,0.6982248520710059,8,169,0.7379316985989537
vlm_final,50,libero_10,100,0.56,0.6311601401783665,0.5998376623376623,0.29626124835965134,0.6454770625716715,0.5917207792207793,0.6358024691358025,8,162,0.8253878433761958
vlm_final,50,libero_goal,100,0.17,0.2674390874107385,0.6385542168674698,0.13859994224823174,0.36989100391972424,0.6732813607370658,0.7154471544715447,8,123,0.5887421714355653
vlm_final,50,libero_object,100,0.33,0.4677683254077267,0.5572139303482587,0.22199672938954648,0.48110657296719284,0.5540479421076436,0.6094674556213018,9,169,0.41810979794598013
vlm_final,50,libero_spatial,100,0.39,0.550113049832798,0.621689785624212,0.2320114172944113,0.492847636530718,0.5985708280790247,0.6568047337278107,8,169,0.6820520200987041
action_expert_final,100,libero_10,100,0.56,0.8668088383447341,0.8096590909090909,0.19012036923561612,0.8223294711105591,0.7276785714285714,0.7469135802469136,8,162,0.6403783571494807
action_expert_final,100,libero_goal,100,0.17,0.5670167008567305,0.8781006378454996,0.10597355289597253,0.7719148008022472,0.8752657689581858,0.8780487804878049,8,123,0.6714240918712584
action_expert_final,100,libero_object,100,0.33,0.9380223204536839,0.9728629579375849,0.10192098386251094,0.9063605248281459,0.9479873360470374,0.9763313609467456,9,169,0.26215713572876154
action_expert_final,100,libero_spatial,100,0.39,0.9192561688048126,0.9184531315678857,0.1407948515633286,0.827449828920204,0.825136612021858,0.9053254437869822,8,169,0.2788404277881855
action_uncertainty,100,libero_10,100,0.56,0.632997777829887,0.5730519480519479,0.2511021135296139,0.5717323114811187,0.49756493506493504,0.5061728395061729,8,162,0.5029862687807383
action_uncertainty,100,libero_goal,100,0.17,0.14405319309887996,0.4046775336640681,0.2419111610411947,0.2314690621622007,0.5783132530120482,0.6585365853658537,8,123,0.48724433794242716
action_uncertainty,100,libero_object,100,0.33,0.318740192603591,0.44957033016734516,0.24730572859820119,0.44565504518313714,0.5169606512890095,0.514792899408284,9,169,0.5784017772986361
action_uncertainty,100,libero_spatial,100,0.39,0.3896241009302304,0.44808743169398907,0.2517389754490573,0.47282392425670194,0.566204287515763,0.6035502958579881,8,169,0.6872302678622709
all_diagnostic_features,100,libero_10,100,0.56,0.8502542068863649,0.8226461038961038,0.18343781862297148,0.8282279177471739,0.7593344155844155,0.8395061728395061,8,162,0.7512608646859458
all_diagnostic_features,100,libero_goal,100,0.17,0.7085615999459315,0.8837703756201275,0.1023888469261393,0.7532706950418298,0.8490432317505315,0.8292682926829268,8,123,0.4361113455846258
all_diagnostic_features,100,libero_object,100,0.33,0.948787505269234,0.9651741293532339,0.09757000925728924,0.9013818963417244,0.9484396200814111,0.9763313609467456,9,169,0.2242795692650274
all_diagnostic_features,100,libero_spatial,100,0.39,0.9361927649836028,0.9306431273644388,0.13093509549677435,0.8408777767845412,0.8348045397225725,0.893491124260355,8,169,0.4526249449433479
layer_action_expert_layer_03,100,libero_10,100,0.56,0.7408158598452639,0.7353896103896105,0.20546253896974234,0.8087889981295404,0.7321428571428571,0.7901234567901234,8,162,0.6489023427580297
layer_action_expert_layer_03,100,libero_goal,100,0.17,0.520283154266372,0.8476257973068746,0.11724045508147153,0.6635503416185913,0.7817150956768251,0.7804878048780488,8,123,0.5202605231884774
layer_action_expert_layer_03,100,libero_object,100,0.33,0.9128758275231816,0.9561284486657621,0.11760077062663495,0.8874387025471888,0.9511533242876526,0.9704142011834319,9,169,0.20831134038938404
layer_action_expert_layer_03,100,libero_spatial,100,0.39,0.7696940811154667,0.7683900798654898,0.17898604890234066,0.7798212531916188,0.7965531736023539,0.8579881656804734,8,169,0.6433843645291796
