source_condition,target_condition,feature_set,horizon,episodes,prediction_coverage,estimable,failure_prevalence,auprc,auroc,brier,task_centered_auprc,task_centered_auroc,within_task_pairwise_auc,eligible_tasks,comparable_success_failure_pairs,task_eta_squared,mean_failure_probability
main_camera_blur,clean,action_uncertainty,0,90,1.0,True,0.34444444444444444,0.3673774055318554,0.45872061235647893,0.26174816806327755,0.3956872231903681,0.48387096774193544,0.5364238410596026,8,151,0.6370553732108521,0.4558159635163867
main_camera_blur,clean,policy_output,0,90,1.0,True,0.34444444444444444,0.3374587058422551,0.49371241115363584,0.3790763905447749,0.42897278823400786,0.5166757791142701,0.5298013245033113,8,151,0.9207806837392752,0.5685158917356463
main_camera_blur,clean,robot_state,0,90,1.0,True,0.34444444444444444,0.6154636742386841,0.6664844177145981,0.22202087740757714,0.3747947635025371,0.5888463641334062,0.609271523178808,8,151,0.9981590655935405,0.415074952745227
main_camera_blur,clean,state_action_history,0,90,1.0,True,0.34444444444444444,0.36273696904873187,0.4904319300164024,0.3455021443143102,0.35350225680387115,0.541279387643521,0.5960264900662252,8,151,0.962138270742212,0.5233224548268659
main_camera_blur,clean,vlm_final,0,90,1.0,True,0.34444444444444444,0.425765831854259,0.5396391470749043,0.26572859841183866,0.3899439607614086,0.45325314379442316,0.4503311258278146,8,151,0.6872533133618521,0.24569233229258597
main_camera_blur,clean,action_expert_final,50,90,1.0,True,0.34444444444444444,0.31370281924863125,0.3903772553307818,0.29360386420306994,0.329324881001967,0.45051940951339525,0.4370860927152318,8,151,0.6395300537460805,0.1630250711279577
main_camera_blur,clean,action_uncertainty,50,90,1.0,True,0.34444444444444444,0.3821555847144807,0.5172225259704756,0.2525534223806039,0.4814476028913415,0.5702569710224166,0.609271523178808,8,151,0.9135439291991186,0.466585782011011
main_camera_blur,clean,policy_output,50,90,1.0,True,0.34444444444444444,0.49428044511444014,0.5893931109896117,0.2593386420440471,0.40704394604767713,0.562055768179333,0.5231788079470199,8,151,0.8924738725155874,0.4264822539512381
main_camera_blur,clean,robot_state,50,90,1.0,True,0.34444444444444444,0.5499349323006532,0.651175505740842,0.23821616460126271,0.35711277084154414,0.5215965008201202,0.5165562913907285,8,151,0.990466208512137,0.4385233612657757
main_camera_blur,clean,state_action_history,50,90,1.0,True,0.34444444444444444,0.37144996279200493,0.529797703663204,0.27938389400152,0.30590817926212654,0.44559868780754514,0.46357615894039733,8,151,0.9834518108228774,0.3704266320206726
main_camera_blur,clean,vlm_final,50,90,1.0,True,0.34444444444444444,0.43177995168974836,0.587752870420995,0.2582467993823369,0.4669932617082428,0.5795516675779114,0.5894039735099338,8,151,0.782273707559737,0.2167091959167668
main_camera_blur,clean,action_expert_final,100,90,1.0,True,0.34444444444444444,0.6618313187528879,0.7271733187534172,0.19729252687818832,0.6647493589565683,0.747949699289229,0.7748344370860927,8,151,0.4578505888210381,0.2519288783571762
main_camera_blur,clean,action_uncertainty,100,90,1.0,True,0.34444444444444444,0.29566994364403215,0.39147074904319296,0.2526861274514619,0.40375602638456487,0.5292509568069983,0.5960264900662252,8,151,0.899065719356821,0.46951886464568354
main_camera_blur,clean,policy_output,100,90,1.0,True,0.34444444444444444,0.4879265319083055,0.5910333515582284,0.24753266668036436,0.37692632412508054,0.5308911973756151,0.5165562913907285,8,151,0.835373918786895,0.4891983127300331
main_camera_blur,clean,robot_state,100,90,1.0,True,0.34444444444444444,0.608587748194378,0.6637506834335702,0.25496914449021535,0.3651761097689234,0.4948059048660471,0.5496688741721855,8,151,0.9882229578334407,0.49085131762377415
main_camera_blur,clean,state_action_history,100,90,1.0,True,0.34444444444444444,0.3964354280422427,0.5434663750683433,0.2842229039003582,0.4683354231448825,0.6085292509568071,0.6357615894039735,8,151,0.9684157022288264,0.4818497181833232
main_camera_blur,clean,vlm_final,100,90,1.0,True,0.34444444444444444,0.6721311383530676,0.7375615090213231,0.19141534204050004,0.634742927031142,0.6724986331328595,0.6225165562913907,8,151,0.48341136657492995,0.2831540367520413
wrist_camera_mask,clean,action_expert_final,0,90,0.0,False,0.34444444444444444,,,,,,,0,0,,
wrist_camera_mask,clean,action_uncertainty,0,90,0.0,False,0.34444444444444444,,,,,,,0,0,,
wrist_camera_mask,clean,policy_output,0,90,0.0,False,0.34444444444444444,,,,,,,0,0,,
wrist_camera_mask,clean,robot_state,0,90,0.0,False,0.34444444444444444,,,,,,,0,0,,
wrist_camera_mask,clean,state_action_history,0,90,0.0,False,0.34444444444444444,,,,,,,0,0,,
wrist_camera_mask,clean,vlm_final,0,90,0.0,False,0.34444444444444444,,,,,,,0,0,,
wrist_camera_mask,clean,action_expert_final,50,90,0.0,False,0.34444444444444444,,,,,,,0,0,,
wrist_camera_mask,clean,action_uncertainty,50,90,0.0,False,0.34444444444444444,,,,,,,0,0,,
wrist_camera_mask,clean,policy_output,50,90,0.0,False,0.34444444444444444,,,,,,,0,0,,
wrist_camera_mask,clean,robot_state,50,90,0.0,False,0.34444444444444444,,,,,,,0,0,,
wrist_camera_mask,clean,state_action_history,50,90,0.0,False,0.34444444444444444,,,,,,,0,0,,
wrist_camera_mask,clean,vlm_final,50,90,0.0,False,0.34444444444444444,,,,,,,0,0,,
wrist_camera_mask,clean,action_expert_final,100,90,0.0,False,0.34444444444444444,,,,,,,0,0,,
wrist_camera_mask,clean,action_uncertainty,100,90,0.0,False,0.34444444444444444,,,,,,,0,0,,
wrist_camera_mask,clean,policy_output,100,90,0.0,False,0.34444444444444444,,,,,,,0,0,,
wrist_camera_mask,clean,robot_state,100,90,0.0,False,0.34444444444444444,,,,,,,0,0,,
wrist_camera_mask,clean,state_action_history,100,90,0.0,False,0.34444444444444444,,,,,,,0,0,,
wrist_camera_mask,clean,vlm_final,100,90,0.0,False,0.34444444444444444,,,,,,,0,0,,
