feature_set,horizon,held_out_suite,episodes,failure_prevalence,auprc,auroc,brier,task_centered_auprc,task_centered_auroc,within_task_pairwise_auc,eligible_tasks,comparable_success_failure_pairs,task_eta_squared
vlm_final,0,libero_10,100,0.56,0.5852707005178588,0.5430194805194805,0.4484317998751555,0.554743869756256,0.49999999999999994,0.46296296296296297,8,162,0.5497747167233472
vlm_final,0,libero_goal,100,0.17,0.19819125297812978,0.5457122608079376,0.14769381756120079,0.22043934219104844,0.5804394046775336,0.6504065040650406,8,123,0.1341186284089277
vlm_final,0,libero_object,100,0.33,0.43136939672653274,0.5685210312075983,0.2983285996226466,0.3989042718677357,0.5156037991858887,0.5029585798816568,9,169,0.5750776073022184
vlm_final,0,libero_spatial,100,0.39,0.3692137537871573,0.4186633039092056,0.28249061393863856,0.3519692963049881,0.417822614543926,0.33136094674556216,8,169,0.4641913404616429
action_expert_final,50,libero_10,100,0.56,0.7385255722499766,0.6623376623376624,0.29674652501094845,0.6326794382554304,0.5300324675324676,0.5432098765432098,8,162,0.7558295334664522
action_expert_final,50,libero_goal,100,0.17,0.29210509660456213,0.6775336640680368,0.13966296996639563,0.4693916792446205,0.6732813607370659,0.6422764227642277,8,123,0.7571444416534331
action_expert_final,50,libero_object,100,0.33,0.5216402210598885,0.6368159203980099,0.22251755517963548,0.544166310238718,0.6594301221166893,0.7159763313609467,9,169,0.7029461545347764
action_expert_final,50,libero_spatial,100,0.39,0.7208521814009001,0.7633459436738126,0.2794956698095961,0.6473677035894301,0.6548970155527533,0.7455621301775148,8,169,0.47907005040067036
action_uncertainty,50,libero_10,100,0.56,0.5593257621072967,0.5430194805194806,0.2545717142438445,0.5228353199550804,0.44642857142857145,0.42592592592592593,8,162,0.7916719796001837
action_uncertainty,50,libero_goal,100,0.17,0.14179493444228813,0.3146704464918497,0.23844444339759666,0.20505859302220286,0.4252303330970941,0.4146341463414634,8,123,0.5950817975513826
action_uncertainty,50,libero_object,100,0.33,0.3694236080055095,0.5024875621890548,0.2627436812319837,0.4115779549328995,0.5490728177295341,0.5680473372781065,9,169,0.5368258374151634
action_uncertainty,50,libero_spatial,100,0.39,0.46724641866642136,0.4817150063051702,0.2508065494311457,0.4690503289819538,0.5140815468684321,0.5798816568047337,8,169,0.695902212665832
